0,1,2,3,4,5,6,7,8,9,10
tropical fruit,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,canned beer,,,,,,,,,
berries,canned fish,,,,,,,,,
soda,yogurt,brown bread,,,,,,,,
misc. beverages,onions,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
meat,coffee,,,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,detergent,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
pork,frozen dessert,newspapers,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
zwieback,rice,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
whole milk,brandy,brown bread,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
other vegetables,specialty chocolate,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
dessert,red/blush wine,,,,,,,,,
beverages,oil,,,,,,,,,
onions,rolls/buns,,,,,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
other vegetables,other vegetables,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
whole milk,brown bread,domestic eggs,,,,,,,,
root vegetables,onions,,,,,,,,,
whole milk,coffee,brandy,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
onions,soda,,,,,,,,,
whole milk,chocolate,,,,,,,,,
soda,salt,,,,,,,,,
whole milk,dog food,,,,,,,,,
whole milk,whole milk,,,,,,,,,
chocolate,dessert,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
whole milk,cat food,,,,,,,,,
citrus fruit,beef,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
white wine,sauces,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
frankfurter,chicken,white bread,whipped/sour cream,specialty fat,soft cheese,,,,,
chicken,specialty chocolate,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
pip fruit,pastry,,,,,,,,,
sausage,white bread,,,,,,,,,
sausage,white wine,,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
berries,pastry,soda,,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
canned beer,liquor,,,,,,,,,
soda,pip fruit,pasta,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
newspapers,chicken,root vegetables,curd,,,,,,,
ham,tropical fruit,soda,,,,,,,,
whole milk,detergent,yogurt,fruit/vegetable juice,,,,,,,
citrus fruit,bottled water,,,,,,,,,
cat food,whole milk,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
specialty bar,whole milk,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
bottled water,other vegetables,coffee,soda,,,,,,,
pork,other vegetables,cream cheese ,,,,,,,,
curd,softener,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
dessert,margarine,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
citrus fruit,candy,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
beef,root vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
bottled water,berries,,,,,,,,,
tropical fruit,meat,pip fruit,salt,pot plants,,,,,,
beef,root vegetables,,,,,,,,,
onions,bottled water,pastry,,,,,,,,
salt,domestic eggs,,,,,,,,,
sausage,curd,brown bread,,,,,,,,
herbs,white bread,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,flour,,,,,,,,,
coffee,berries,,,,,,,,,
candy,white wine,,,,,,,,,
pip fruit,soda,,,,,,,,,
pork,other vegetables,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
root vegetables,shopping bags,,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
root vegetables,frozen dessert,,,,,,,,,
coffee,butter,,,,,,,,,
whole milk,grapes,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
other vegetables,coffee,,,,,,,,,
sausage,yogurt,,,,,,,,,
domestic eggs,vinegar,chocolate,,,,,,,,
meat,sugar,margarine,cat food,,,,,,,
whole milk,UHT-milk,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
whipped/sour cream,other vegetables,honey,,,,,,,,
whole milk,whole milk,,,,,,,,,
newspapers,canned beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,soda,shopping bags,,,,,,,,
frozen vegetables,yogurt,pot plants,,,,,,,,
pastry,whole milk,,,,,,,,,
specialty bar,semi-finished bread,,,,,,,,,
citrus fruit,beverages,pip fruit,other vegetables,,,,,,,
canned beer,citrus fruit,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
chocolate,chocolate,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
beef,other vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
shopping bags,tropical fruit,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
beef,pet care,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,curd,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
turkey,long life bakery product,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soda,vinegar,napkins,,,,,,,,
whole milk,dog food,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
newspapers,napkins,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
brown bread,pet care,,,,,,,,,
oil,other vegetables,,,,,,,,,
cat food,candles,whole milk,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
canned beer,butter,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
rolls/buns,soda,,,,,,,,,
beverages,shopping bags,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
bottled water,chocolate,,,,,,,,,
UHT-milk,tea,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
beef,curd cheese,,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
tropical fruit,beef,cream cheese ,frozen vegetables,,,,,,,
misc. beverages,hard cheese,herbs,sugar,,,,,,,
sausage,domestic eggs,,,,,,,,,
turkey,herbs,white bread,,,,,,,,
coffee,sauces,,,,,,,,,
candy,domestic eggs,,,,,,,,,
roll products ,waffles,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,whole milk,soda,oil,pastry,fruit/vegetable juice,newspapers,,,,
meat,citrus fruit,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pastry,shopping bags,,,,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
popcorn,flour,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
dessert,napkins,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
coffee,sugar,,,,,,,,,
yogurt,whole milk,,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
berries,ham,,,,,,,,,
tropical fruit,butter,,,,,,,,,
waffles,flour,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
domestic eggs,whole milk,bottled beer,,,,,,,,
grapes,onions,,,,,,,,,
whole milk,butter,,,,,,,,,
UHT-milk,newspapers,bottled water,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
root vegetables,domestic eggs,chocolate,,,,,,,,
frozen vegetables,pot plants,domestic eggs,,,,,,,,
herbs,grapes,butter,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
whole milk,oil,,,,,,,,,
pork,hamburger meat,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
berries,white bread,,,,,,,,,
whole milk,berries,,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
whole milk,shopping bags,,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
meat,butter milk,,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
chicken,UHT-milk,,,,,,,,,
soda,bottled water,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
beef,napkins,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
coffee,butter milk,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
onions,other vegetables,,,,,,,,,
beverages,specialty fat,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
tropical fruit,nuts/prunes,,,,,,,,,
chocolate,brown bread,,,,,,,,,
rum,sugar,,,,,,,,,
whole milk,waffles,,,,,,,,,
pastry,cereals,,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
tropical fruit,canned beer,hygiene articles,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
tropical fruit,pork,,,,,,,,,
finished products,root vegetables,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
whole milk,napkins,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
ham,whole milk,candy,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
frankfurter,sausage,,,,,,,,,
bottled water,white bread,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
beef,yogurt,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frankfurter,pastry,hygiene articles,,,,,,,,
pip fruit,butter milk,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
photo/film,root vegetables,,,,,,,,,
onions,frozen dessert,,,,,,,,,
turkey,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
curd,cake bar,ketchup,,,,,,,,
canned beer,frozen meals,beef,canned beer,coffee,,,,,,
spices,cat food,seasonal products,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
yogurt,seasonal products,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
dessert,rice,,,,,,,,,
soda,other vegetables,chocolate,,,,,,,,
whole milk,sugar,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
long life bakery product,UHT-milk,whole milk,,,,,,,,
bottled beer,yogurt,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
whipped/sour cream,oil,,,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
sausage,pork,,,,,,,,,
butter milk,oil,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
flour,yogurt,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
soda,rolls/buns,shopping bags,,,,,,,,
pork,sugar,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
candy,baking powder,canned fish,,,,,,,,
root vegetables,sugar,newspapers,,,,,,,,
whole milk,curd,,,,,,,,,
other vegetables,frozen meals,rolls/buns,canned beer,white bread,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
candy,pot plants,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
other vegetables,pasta,,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
frozen fish,whipped/sour cream,,,,,,,,,
processed cheese,yogurt,,,,,,,,,
root vegetables,citrus fruit,soda,,,,,,,,
dessert,yogurt,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
other vegetables,soda,,,,,,,,,
pastry,salty snack,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
sausage,brown bread,,,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
tropical fruit,waffles,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
butter,domestic eggs,bottled water,curd,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
tropical fruit,curd,,,,,,,,,
frozen chicken,herbs,yogurt,,,,,,,,
meat,whole milk,processed cheese,butter,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
hamburger meat,chicken,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
chicken,mayonnaise,soda,sparkling wine,,,,,,,
citrus fruit,bottled water,,,,,,,,,
whipped/sour cream,domestic eggs,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
chicken,onions,,,,,,,,,
chicken,dog food,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
frankfurter,other vegetables,,,,,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
ham,cream cheese ,,,,,,,,,
sausage,bottled water,,,,,,,,,
female sanitary products,salt,,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
bottled water,whole milk,,,,,,,,,
margarine,canned fish,,,,,,,,,
tropical fruit,soda,oil,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
beef,pasta,,,,,,,,,
shopping bags,long life bakery product,,,,,,,,,
meat,canned fish,,,,,,,,,
candy,long life bakery product,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
sausage,newspapers,cream,,,,,,,,
bottled water,newspapers,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frankfurter,white wine,,,,,,,,,
frozen potato products,salt,coffee,,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
yogurt,soda,,,,,,,,,
Instant food products,coffee,,,,,,,,,
zwieback,brown bread,,,,,,,,,
sausage,sausage,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
pip fruit,hamburger meat,butter,yogurt,,,,,,,
chocolate,brown bread,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
other vegetables,butter milk,,,,,,,,,
specialty cheese,onions,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
sausage,pastry,,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
sausage,white bread,,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
chocolate,soda,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
canned fish,white bread,,,,,,,,,
whole milk,yogurt,,,,,,,,,
canned fruit,newspapers,,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
long life bakery product,yogurt,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
bottled beer,soda,,,,,,,,,
pip fruit,butter,,,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
ice cream,citrus fruit,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
soda,whipped/sour cream,,,,,,,,,
whole milk,baking powder,,,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,fruit/vegetable juice,chewing gum,,,,,,,,
grapes,rolls/buns,,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
sausage,newspapers,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,beef,,,,,,,,,
sausage,domestic eggs,sweet spreads,,,,,,,,
other vegetables,canned fish,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
pip fruit,sausage,pip fruit,shopping bags,,,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
cream cheese ,mustard,,,,,,,,,
soda,salty snack,,,,,,,,,
beef,sausage,oil,candles,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
chicken,sugar,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soda,other vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
dessert,pot plants,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
beef,soft cheese,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
salty snack,canned beer,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
hamburger meat,bottled beer,domestic eggs,,,,,,,,
turkey,condensed milk,yogurt,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
tropical fruit,whole milk,dog food,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
chicken,bottled water,,,,,,,,,
pork,canned beer,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
whole milk,yogurt,pasta,,,,,,,,
mustard,soda,,,,,,,,,
liquor,cream,coffee,,,,,,,,
mayonnaise,pet care,,,,,,,,,
soda,bottled water,ice cream,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
fish,candy,rolls/buns,,,,,,,,
pastry,butter milk,hygiene articles,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
organic sausage,other vegetables,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
curd,pip fruit,,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
pip fruit,spices,,,,,,,,,
sausage,specialty bar,,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
other vegetables,newspapers,,,,,,,,,
canned beer,cake bar,,,,,,,,,
pastry,berries,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
butter,cream,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
turkey,grapes,soda,,,,,,,,
frankfurter,bottled water,onions,,,,,,,,
soda,curd,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,candles,,,,,,,,,
ham,berries,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
sausage,butter,,,,,,,,,
whole milk,processed cheese,pastry,,,,,,,,
rolls/buns,pastry,,,,,,,,,
citrus fruit,sausage,rolls/buns,frozen potato products,,,,,,,
rolls/buns,butter,,,,,,,,,
butter,rolls/buns,,,,,,,,,
turkey,chewing gum,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
white bread,pip fruit,domestic eggs,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
meat,grapes,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
herbs,chewing gum,,,,,,,,,
chicken,butter milk,sugar,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
white bread,pot plants,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
curd,frankfurter,white bread,pip fruit,waffles,,,,,,
beverages,pastry,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
bottled water,soda,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
canned beer,honey,,,,,,,,,
frozen meals,dish cleaner,,,,,,,,,
beef,meat,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
soda,pasta,curd cheese,,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
liquor,vinegar,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
citrus fruit,flour,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
pot plants,herbs,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
pastry,coffee,,,,,,,,,
yogurt,yogurt,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,dessert,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
beef,shopping bags,,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
yogurt,yogurt,,,,,,,,,
oil,frozen potato products,,,,,,,,,
beef,white wine,UHT-milk,butter milk,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
brown bread,rolls/buns,citrus fruit,frozen fish,chocolate,,,,,,
citrus fruit,butter,,,,,,,,,
other vegetables,dog food,,,,,,,,,
beef,other vegetables,,,,,,,,,
soda,butter,rolls/buns,,,,,,,,
yogurt,other vegetables,fruit/vegetable juice,,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
beef,butter,yogurt,,,,,,,,
meat,frozen potato products,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
